density	Prop1	Prop2	Prop3
2.315053	0.36	18.58065129	2318.779432
2.3636064	0.36	19.11564359	2317.269467
2.3951382	0.36	19.6506359	2315.764406
2.3089532	0.3136	17.54225898	2337.129833
2.356723	0.3136	18.07725129	2335.559249
2.3901918	0.3136	18.61224359	2333.993928
2.3958848	0.3136	19.1472359	2332.433838
2.418336	0.3136	19.68222821	2330.878949
2.3152574	0.2704	17.03885898	2354.5944
2.372798	0.2704	17.57385129	2352.964333
2.3726082	0.2704	18.10884359	2351.339893
2.4176616	0.2704	18.6438359	2349.721044
2.419925	0.2704	19.17882821	2348.107753
2.4668556	0.2704	19.71382052	2346.499986
2.3449492	0.536121804	20.33150065	2263.581803
2.4129494	0.494839477	20.61312998	2268.899149
2.3512802	0.478207412	20.36362843	2277.280921
2.4650102	0.453850416	20.90464103	2274.46949
2.4294446	0.438335315	20.64581167	2283.004668
2.380276	0.423602413	20.3957562	2291.404874
2.5252044	0.413265306	21.20656319	2280.311591
2.4957006	0.398891967	20.93789609	2289.0058
2.4732284	0.385255648	20.67849337	2297.559851
2.4176744	0.372306808	20.42788397	2305.977978
2.586739	0.373209917	21.51946434	2286.446149
2.571343	0.36	21.24041209	2295.305314
2.5089638	0.347479224	20.97115115	2304.01883
2.4981192	0.335600476	20.71117507	2312.591174
2.4594356	0.324320598	20.46001174	2321.026616
2.6504916	0.33382716	21.84395442	2292.896045
2.6177948	0.321798347	21.55392867	2301.926418
2.5945008	0.310408163	21.27426099	2310.805316
2.552551	0.299612188	21.00440621	2319.537482
2.5322226	0.289369798	20.74385677	2328.127431
2.5288334	0.279643781	20.49213951	2336.579471
2.314451	0.5184	20.62780231	2273.180238
2.2883486	0.4624	21.19634564	2288.349921
2.3185214	0.4624	20.65939462	2286.939101
2.3541124	0.4096	21.76488898	2304.039673
2.3510506	0.485494277	20.08762283	2262.74494
2.3956136	0.40640625	20.11421395	2266.76069
2.4020786	0.433048907	20.11819603	2275.747265
2.4105464	0.338512397	20.13919348	2270.565742
2.4331676	0.36	20.14383174	2279.464391
2.4201304	0.383600416	20.14876924	2289.131965
2.4867644	0.280276817	20.16270363	2274.17633
2.479593	0.297520661	20.16791376	2282.984064
2.4805522	0.31640625	20.17344953	2292.532247
2.5506368	0.2304	20.18487034	2277.607053
2.5293262	0.244152249	20.19057919	2286.321667
2.5381782	0.259173554	20.19663404	2295.749587
2.4932848	0.275625	20.20306732	2305.983489
2.4678854	0.293694069	20.20991564	2317.133073
2.5958964	0.187777778	20.20580556	2280.871079
2.5890846	0.198661224	20.21194946	2289.491021
2.544049	0.210519031	20.21845476	2298.798407
2.558009	0.223471074	20.22535432	2308.880186
2.5259818	0.23765625	20.23268511	2319.838849
2.5062168	0.253236212	20.24048884	2331.796109
2.4223948	0.536121804	21.13714472	2263.646117
2.5569282	0.494839477	22.25219894	2269.03155
2.4639972	0.478207412	21.16927249	2277.347206
2.672746	0.453850416	23.40637787	2274.674084
2.5542496	0.438335315	22.28488064	2283.141237
2.4880388	0.423602413	21.20140027	2291.473239
2.7840412	0.413265306	24.60177747	2280.592863
2.7059218	0.398891967	23.43963293	2289.217017
2.608568	0.385255648	22.31756234	2297.700829
2.5208778	0.372306808	21.23352804	2306.048545
2.9346894	0.373209917	25.84064616	2286.809004
2.8300988	0.36	24.63562638	2295.595957
2.7469746	0.347479224	23.47288799	2304.237067
2.6669494	0.335600476	22.35024404	2312.736825
2.5412812	0.324320598	21.26565581	2321.099517
3.087018	0.33382716	27.12539886	2293.345867
2.9688286	0.321798347	25.87511049	2302.301728
2.8825826	0.310408163	24.66947528	2311.105909
2.7891618	0.299612188	23.50614306	2319.763169
2.6723042	0.289369798	22.38292574	2328.278041
2.5946328	0.279643781	21.29778358	2336.654847
2.8350654	0.540936524	24.58212903	2250.126716
3.4428512	0.455625	28.8519375	2254.444253
3.9292168	0.38214876	32.8629697	2258.538132
4.419741	0.318892734	36.63805882	2262.425388
4.8697202	0.264489796	40.19742857	2266.121358
5.2991582	0.217777778	43.55905556	2269.63989
5.7032836	0.177764792	46.73897297	2272.993524
2.7164428	0.540936524	24.08874194	2249.755893
3.1184564	0.455625	27.896	2253.719148
3.5634484	0.38214876	31.47251515	2257.474221
3.9551954	0.318892734	34.83864706	2261.037167
4.298712	0.264489796	38.01242857	2264.422426
4.6267348	0.217777778	41.00988889	2267.643018
4.9703506	0.177764792	43.84532432	2270.710719
2.3379	0.536121804	19.78744068	2264.947366
2.3814336	0.494839477	20.05968966	2270.304706
2.320529	0.478207412	19.27550847	2280.100162
2.4639896	0.453850416	20.34149123	2275.917411
2.3824802	0.438335315	19.53893103	2285.908986
2.338962	0.423602413	18.76357627	2295.773791
2.5152022	0.413265306	20.63335714	2281.80446
2.4481914	0.398891967	19.81159649	2292.000386
2.4112624	0.385255648	19.01817241	2302.064711
2.3261254	0.372306808	18.25164407	2312.001388
2.5787828	0.373209917	20.93583636	2287.986791
2.5166664	0.36	20.094	2298.395844
2.449117	0.347479224	19.28170175	2308.668182
2.4057586	0.335600476	18.49741379	2318.807982
2.3403514	0.324320598	17.73971186	2328.819226
2.6208782	0.33382716	21.24951852	2294.487556
2.5709096	0.321798347	20.38667273	2305.11911
2.5367392	0.310408163	19.55464286	2315.608526
2.4664414	0.299612188	18.75180702	2325.960224
2.4136872	0.289369798	17.97665517	2336.178414
2.3197328	0.279643781	17.22777966	2346.267107
2.3305654	0.536121804	20.87755254	2264.944699
